Ecosystem services,Ecosystem components,Rating,Ecosystem types,Link_assessment,Link assessment,Justification
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Water,G,Brackish tidal systems ,0,N,"Water is used in urban planning strategies for buffering of noise pollution through water structures such as water fountains. The service, in this type of strategy is sensitive to alterations in the provision of water. This asset is limited to noise attenuation and does not impact other types of sensory impacts, like visual or smell. Other assets can provide this service and alteration of the service can be reversed naturally. There is medium uncertainty in the relationship."
Local (micro and meso) climate regulation,Atmosphere,R,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,Climate regulation at micro and regional scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
Local (micro and meso) climate regulation,Atmosphere,R,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,Climate regulation at micro and regional scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
Local (micro and meso) climate regulation,Atmosphere,R,Desert and Semi-deserts ,1,Y,Climate regulation at micro and regional scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
Local (micro and meso) climate regulation,Atmosphere,R,Polar-Alpine ,1,Y,Climate regulation at micro and regional scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
Local (micro and meso) climate regulation,Atmosphere,R,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,Climate regulation at micro and regional scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
Local (micro and meso) climate regulation,Atmosphere,R,Intensive Land Use Systems - Urban and Developed Area,1,Y,Climate regulation at micro and regional scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
Local (micro and meso) climate regulation,Atmosphere,R,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",0,N,Climate regulation at micro and regional scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
Local (micro and meso) climate regulation,Atmosphere,R,Palustrine Wetlands ,1,Y,Climate regulation at micro and regional scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
Local (micro and meso) climate regulation,Atmosphere,R,"Artificial Freshwaters, Lakes, Rivers and streams ",0,N,Climate regulation at micro and regional scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
Local (micro and meso) climate regulation,Atmosphere,R,Semi-confined transitional waters,0,N,Climate regulation at micro and regional scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
Local (micro and meso) climate regulation,Atmosphere,R,Pelagic ocean waters and Deep Sea floors,0,N,Climate regulation at micro and regional scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
Local (micro and meso) climate regulation,Atmosphere,R,Anthropogenic marine systems,1,Y,Climate regulation at micro and regional scale is fully dependent on the atmosphere. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime.
